type,keep
4,0
8-K,1
SC 13G/A,1
6-K,1
10-Q,1
3,0
SC 13G,1
CORRESP,1
10-K,1
UPLOAD,1
SC 13D/A,1
DEF 14A,1
4/A,0
5,0
DEFA14A,0
EFFECT,1
425,1
S-8 POS,0
S-8,0
S-1/A,1
8-K/A,1
SC 13D,1
424B3,1
424B5,1
10-K/A,1
D,1
ARS,1
PRE 14A,1
S-3,1
FWP,1
CT ORDER,0
POS AM,1
SD,0
8-A12B,1
11-K,0
20-F,1
S-1,1
10-Q/A,1
3/A,0
424B4,1
DFAN14A,1
S-3/A,1
N-Q,0
NT 10-Q,0
DRSLTR,1
DRS/A,1
F-1/A,1
NT 10-K,0
25-NSE,0
DRS,1
SC TO-T/A,0
CERTNAS,0
13F-HR,0
S-4/A,1
40-17G,0
SC 14D9/A,1
N-CSR,0
PRER14A,1
497,0
SC TO-I/A,0
NSAR-B,0
424B2,1
N-CSRS,0
NSAR-A,0
SC 13E3/A,0
S-4,1
CERTNYS,0
DEFM14A,1
N-PX,0
15-12B,0
15-12G,0
SC TO-C,0
RW,1
N-2/A,0
PREM14A,1
CERT,0
F-1,1
144,0
DEFR14A,1
497AD,0
SC14D9C,0
20-F/A,1
40-17F2,1
PREC14A,1
6-K/A,1
DEF 14C,1
8-A12B/A,1
D/A,1
POS EX,1
10-12B/A,1
40-APP/A,1
SC 14D9,1
PRE 14C,1
S-11/A,1
S-1MEF,1
SC TO-I,1
DEFC14A,1
PRRN14A,1
485BPOS,1
SC TO-T,1
5/A,1
25,1
F-3,1
IRANNOTICE,1
497K,1
424B1,1
N-2,1
F-6,1
SC 13E3,1
40-APP,1
40-17G/A,1
F-4/A,1
NT 20-F,1
ABS-15G,1
40-F,1
NO ACT,1
424B7,1
F-3/A,1
15-15D,1
485BXT,1
CB/A,1
POS 8C,1
NSAR-B/A,1
8-A12G/A,1
F-X,1
8-A12G,1
497J,1
S-11,1
10-12G/A,1
10-12B,1
AW,1
NSAR-A/A,1
13F-HR/A,1
REVOKED,1
N-CEN,1
485APOS,1
S-3MEF,1
N-23C-2,1
N-30D,1
10-KT,1
DEL AM,1
PRER14C,1
SUPPL,1
F-10/A,1
NT 11-K,1
APP ORDR,1
F-1MEF,1
24F-2NT,1
F-4,1
S-3D,1
SE,1
S-3ASR,1
S-3DPOS,1
SC 14F1,1
F-6 POS,1
N-8A,1
F-3ASR,1
1-A/A,1
F-N,1
F-10,1
POSASR,1
F-6/A,1
N-CSR/A,1
N-30B-2,1
APP NTC,1
10-12G,1
N-8F,1
40-F/A,1
20FR12B/A,1
8-K12B,1
N-8F NTC,1
8-K12G3,1
PX14A6G,1
25-NSE/A,1
N-8F ORDR,1
305B2,1
NTN 10Q,1
PREM14C,1
424B8,1
DEFN14A,1
DEFM14C,1
NSAR-U,1
N-6F,1
11-K/A,1
F-6EF,1
QUALIF,1
N-54A,1
N-PX/A,1
15F-12B,1
20FR12B,1
NT 10-K/A,1
PREN14A,1
N-8F/A,1
N-2MEF,1
253G2,1
144/A,1
20FR12G/A,1
10-KT/A,1
NT 10-Q/A,1
13F-NT,1
10-QT,1
CB,1
RW WD,1
40FR12B,1
S-11MEF,1
20FR12G,1
1-A,1
SP 15D2,1
15-12B/A,1
40FR12B/A,1
APP WD,1
1-A POS,1
NT-NCSR,1
DEFA14C,1
424A,1
SEC STAFF ACTION,1
DOS,1
T-3,1
POS AMI,1
NT-NSAR,1
N-14/A,1
486BPOS,1
DFRN14A,1
40-33,1
NTN 10K,1
POS462B,1
15F-12G,1
T-3/A,1
40-8F-2/A,1
S-4MEF,1
N-8A/A,1
F-X/A,1
N-1A/A,1
N-14 8C/A,1
SD/A,1
N-6F/A,1
40-17F2/A,1
10-QT/A,1
S-4 POS,1
DOSLTR,1
N-14 8C,1
APP WDG,1
15-12G/A,1
CERTARCA,1
N-14,1
8-K12G3/A,1
ABS-15G/A,1
AW WD,1
POS462C,1
1-U,1
8-K12B/A,1
N-23C-2/A,1
DEFR14C,1
1-K,1
DOS/A,1
N-54C,1
SC 13E1/A,1
N-1A,1
40-17F1,1
CERTBATS,1
NT-NSAR/A,1
SC 14N,1
N-Q/A,1
253G1,1
SP 15D2/A,1
SC 14F1/A,1
ARS/A,1
PREC14C,1
N-CEN/A,1
S-B,1
NTFNSAR,1
NSAR-BT,1
NT 20-F/A,1
40FR12G,1
SC 14N/A,1
F-3D,1
40-8F-2,1
F-3MEF,1