type_id,type,keep
1,4,0
2,8-K,1
3,SC 13G/A,1
4,6-K,1
5,10-Q,1
6,3,0
7,SC 13G,1
8,CORRESP,1
9,10-K,1
10,UPLOAD,1
11,SC 13D/A,1
12,DEF 14A,1
13,4/A,0
14,5,0
15,DEFA14A,0
16,EFFECT,1
17,425,1
18,S-8 POS,0
19,S-8,0
20,S-1/A,1
21,8-K/A,1
22,SC 13D,1
23,424B3,1
24,424B5,1
25,10-K/A,1
26,D,1
27,ARS,1
28,PRE 14A,1
29,S-3,1
30,FWP,1
31,CT ORDER,0
32,POS AM,1
33,SD,0
34,8-A12B,1
35,11-K,0
36,20-F,1
37,S-1,1
38,10-Q/A,1
39,3/A,0
40,424B4,1
41,DFAN14A,1
42,S-3/A,1
43,N-Q,0
44,NT 10-Q,0
45,DRSLTR,1
46,DRS/A,1
47,F-1/A,1
48,NT 10-K,0
49,25-NSE,0
50,DRS,1
51,SC TO-T/A,0
52,CERTNAS,0
53,13F-HR,0
54,S-4/A,1
55,40-17G,0
56,SC 14D9/A,1
57,N-CSR,0
58,PRER14A,1
59,497,0
60,SC TO-I/A,0
61,NSAR-B,0
62,424B2,1
63,N-CSRS,0
64,NSAR-A,0
65,SC 13E3/A,0
66,S-4,1
67,CERTNYS,0
68,DEFM14A,1
69,N-PX,0
70,15-12B,0
71,15-12G,0
72,SC TO-C,0
73,RW,1
74,N-2/A,0
75,PREM14A,1
76,CERT,0
77,F-1,1
78,144,0
79,DEFR14A,1
80,497AD,0
81,SC14D9C,0
82,20-F/A,1
83,40-17F2,1
84,PREC14A,1
85,6-K/A,1
86,DEF 14C,1
87,8-A12B/A,1
88,D/A,1
89,POS EX,1
90,10-12B/A,1
91,40-APP/A,1
92,SC 14D9,1
93,PRE 14C,1
94,S-11/A,1
95,S-1MEF,1
96,SC TO-I,1
97,DEFC14A,1
98,PRRN14A,1
99,485BPOS,1
100,SC TO-T,1
101,5/A,1
102,25,1
103,F-3,1
104,IRANNOTICE,1
105,497K,1
106,424B1,1
107,N-2,1
108,F-6,1
109,SC 13E3,1
110,40-APP,1
111,40-17G/A,1
112,F-4/A,1
113,NT 20-F,1
114,ABS-15G,1
115,40-F,1
116,NO ACT,1
117,424B7,1
118,F-3/A,1
119,15-15D,1
120,485BXT,1
121,CB/A,1
122,POS 8C,1
123,NSAR-B/A,1
124,8-A12G/A,1
125,F-X,1
126,8-A12G,1
127,497J,1
128,S-11,1
129,10-12G/A,1
130,10-12B,1
131,AW,1
132,NSAR-A/A,1
133,13F-HR/A,1
134,REVOKED,1
135,N-CEN,1
136,485APOS,1
137,S-3MEF,1
138,N-23C-2,1
139,N-30D,1
140,10-KT,1
141,DEL AM,1
142,PRER14C,1
143,SUPPL,1
144,F-10/A,1
145,NT 11-K,1
146,APP ORDR,1
147,F-1MEF,1
148,24F-2NT,1
149,F-4,1
150,S-3D,1
151,SE,1
152,S-3ASR,1
153,S-3DPOS,1
154,SC 14F1,1
155,F-6 POS,1
156,N-8A,1
157,F-3ASR,1
158,1-A/A,1
159,F-N,1
160,F-10,1
161,POSASR,1
162,F-6/A,1
163,N-CSR/A,1
164,N-30B-2,1
165,APP NTC,1
166,10-12G,1
167,N-8F,1
168,40-F/A,1
169,20FR12B/A,1
170,8-K12B,1
171,N-8F NTC,1
172,8-K12G3,1
173,PX14A6G,1
174,25-NSE/A,1
175,N-8F ORDR,1
176,305B2,1
177,NTN 10Q,1
178,PREM14C,1
179,424B8,1
180,DEFN14A,1
181,DEFM14C,1
182,NSAR-U,1
183,N-6F,1
184,11-K/A,1
185,F-6EF,1
186,QUALIF,1
187,N-54A,1
188,N-PX/A,1
189,15F-12B,1
190,20FR12B,1
191,NT 10-K/A,1
192,PREN14A,1
193,N-8F/A,1
194,N-2MEF,1
195,253G2,1
196,144/A,1
197,20FR12G/A,1
198,10-KT/A,1
199,NT 10-Q/A,1
200,13F-NT,1
201,10-QT,1
202,CB,1
203,RW WD,1
204,40FR12B,1
205,S-11MEF,1
206,20FR12G,1
207,1-A,1
208,SP 15D2,1
209,15-12B/A,1
210,40FR12B/A,1
211,APP WD,1
212,1-A POS,1
213,NT-NCSR,1
214,DEFA14C,1
215,424A,1
216,SEC STAFF ACTION,1
217,DOS,1
218,T-3,1
219,POS AMI,1
220,NT-NSAR,1
221,N-14/A,1
222,486BPOS,1
223,DFRN14A,1
224,40-33,1
225,NTN 10K,1
226,POS462B,1
227,15F-12G,1
228,T-3/A,1
229,40-8F-2/A,1
230,S-4MEF,1
231,N-8A/A,1
232,F-X/A,1
233,N-1A/A,1
234,N-14 8C/A,1
235,SD/A,1
236,N-6F/A,1
237,40-17F2/A,1
238,10-QT/A,1
239,S-4 POS,1
240,DOSLTR,1
241,N-14 8C,1
242,APP WDG,1
243,15-12G/A,1
244,CERTARCA,1
245,N-14,1
246,8-K12G3/A,1
247,ABS-15G/A,1
248,AW WD,1
249,POS462C,1
250,1-U,1
251,8-K12B/A,1
252,N-23C-2/A,1
253,DEFR14C,1
254,1-K,1
255,DOS/A,1
256,N-54C,1
257,SC 13E1/A,1
258,N-1A,1
259,40-17F1,1
260,CERTBATS,1
261,NT-NSAR/A,1
262,SC 14N,1
263,N-Q/A,1
264,253G1,1
265,SP 15D2/A,1
266,SC 14F1/A,1
267,ARS/A,1
268,PREC14C,1
269,N-CEN/A,1
270,S-B,1
271,NTFNSAR,1
272,NSAR-BT,1
273,NT 20-F/A,1
274,40FR12G,1
275,SC 14N/A,1
276,F-3D,1
277,40-8F-2,1
278,F-3MEF,1